"row ID","style","country","stars","top_ten","brand","variety"
"2580","Cup","Japan",3.75,,"Westbrae","Miso Ramen"
"2579","Pack","Taiwan",1,,"Wai Wai","Tom Yum Chili Flavor"
"2578","Cup","USA",2.25,,"Wai Wai","Tom Yum Shrimp"
"2577","Pack","Taiwan",2.75,,"Wai Wai","Oriental Style Instant Noodles"
"2576","Pack","India",3.75,,"Vifon","Hu Tiu Nam Vang [Phnom Penh style] Asian Style Instant Rice Noodles"
"2575","Pack","South Korea",4.75,,"Vifon","Nam Vang"
"2574","Cup","Japan",4,,"Ve Wong","Mushroom Pork"
"2573","Tray","Japan",3.75,,"Tung-I","Chinese Beef Instant Rice Noodle"
"2572","Pack","Japan",0.25,,"Sutah","Cup Noodle"
"2571","Pack","Singapore",2.5,,"Smack","Vegetable Beef"
"2570","Pack","Thailand",5,,"Six Fortune","Chicken Flavor Instant Soup Noodle"
"2569","Pack","USA",5,,"Sapporo Ichiban","Shrimp Flavor"
"2568","Pack","South Korea",4.25,,"Sapporo Ichiban","Chow Mein"
"2567","Bowl","Japan",4.5,,"Samyang","Hot"
"2566","Pack","Hong Kong",5,,"Samyang","Pojangmacha U-dong"
"2565","Cup","Singapore",3.5,,"Samyang","Kalgug-Su (Spicy)"
"2564","Pack","India",3.75,,"Quickchow","Pancit Palabok"
"2563","Pack","USA",5,,"Ottogi","Jin Ramen (Hot Taste)"
"2562","Pack","Vietnam",4,,"Nongshim","Shin Ramyun"
"2561","Pack","South Korea",4,,"Nongshim","Neoguri (Seafood'n'Spicy)"
"2560","Cup","Hong Kong",4.25,,"Nongshim","Champong Oriental Noodles"
"2559","Pack","USA",5,,"Nongshim","Ansungtangmyun Noodle Soup"
"2558","Cup","Singapore",5,,"Nissin","Top Ramen Creamy Chicken"
"2557","Pack","USA",4.75,,"Nissin","Demae Ramen Spicy Seafood With Chili Pepper"
"2556","Pack","India",4.25,,"Nissin","Demae Ramen Spicy Flavor"
"2555","Bowl","South Korea",4.25,,"Nissin","Soba Noodles With Mayo Mustard Squirt"
"2554","Pack","Ghana",3.5,,"Nissin","Demae Ramen Curry Flavor"
"2553","Bowl","Japan",4.75,,"Nissin","Chikin Ramen"
"2552","Bowl","Malaysia",5,,"Mee Jang","Tom Yum Shrimp"
"2551","Pack","Singapore",4,,"Myojo","Special Duck"
"2550","Pack","South Korea",5,,"Myojo","Ippeichan Yakisoba"
"2549","Pack","Indonesia",4.5,,"Koka","Mi Hai Cua Crab Flavor"
"2548","Pack","South Korea",,,"Koka","Mi Hai Tom Prawn"
"2547","Bowl","China",4,,"Maruchan","Ramen Noodle Soup Shrimp"
"2546","Bowl","Japan",3.75,,"Mama","Chand Clear Soup"
"2545","Pack","Singapore",5,,"Lucky Me!","Itnok"
"2544","Box","USA",1.5,,"Lucky Me!","Pancit Canton Hot Chili Flavor"
"2543","Cup","Singapore",5,,"Lucky Me!","Pancit Canton Citrus Flavor"
"2542","Tray","Japan",1.5,,"Lucky Me!","Supreme Bulalo Flavor"
"2541","Cup","USA",5,,"Lucky Me!","Pancit Canton Chili Mansi"
"2540","Pack","Taiwan",3.25,,"Little Cook","Pork Mustard Stem"
"2539","Cup","Hong Kong",3.75,,"Ve Wong","Kung-Fu Chicken Flavor"
"2538","Cup","USA",5,,"Kim Ve Wong","Jaopai Series: Vegetarian Instant Noodles"
"2537","Cup","Singapore",5,,"Indomie","Special Chicken"
"2536","Pack","Ghana",3.5,,"Indomie","Mi Goreng Sate"
"2535","Cup","USA",5,,"Indomie","Mi Goreng Jumbo Meatball"
"2534","Pack","Japan",4,,"Indomie","Mi Goreng Jumbo Barbecue Chicken"
"2533","Pack","South Korea",5,,"Indomie","Shrimp Flavor"
"2532","Bowl","Japan",4.75,,"Indomie","Mi Goreng Pedas Hot"
"2531","Pack","China",4.25,,"Indomie","Mi Goreng"
"2530","Pack","South Korea",2,,"Indomie","Curly Noodles With Grilled Chicken"
"2529","Bowl","Japan",4.5,,"Indomie","Chicken Curry"
"2528","Pack","Singapore",5,,"Indomie","Chicken"
"2527","Pack","Vietnam",0,,"Hua Feng Noodle Expert","Spicy Seafood Flavor"
"2526","Bowl","South Korea",4.5,,"Hua Feng Noodle Expert","Favoury Pork Flavor"
"2525","Pack","Japan",3.5,,"Doll","Instant Noodles With Sesame Oil & Soup Base"
"2524","Pack","Singapore",5,,"Doll","Instant Fried Noodles With Chili Sauce"
"2523","Pack","South Korea",4.5,,"Ve Wong","A-One Bun Tom Shrimp"
"2522","Pack","Japan",5,,"Maggi","Chinese Noodles Lemon Chicken Flavor"
"2521","Pack","Singapore",4.5,,"Maggi","Vegetable Atta Noodles Masala"
"2520","Cup","Singapore",5,,"Maggi","2 Minute Noodles Curry"
"2519","Tray","South Korea",1,,"Maggi","Rice Noodle Mania Lemon Masala"
"2518","Pack","Japan",4,,"Nissin","Souper Meal Chicken Flavor With Vegetable Medley"
"2517","Bowl","Japan",4.5,,"Sapporo Ichiban","Chicken Flavor"
"2516","Pack","Japan",3.5,,"Nissin","Top Ramen Oriental"
"2515","Bowl","Taiwan",5,,"Maruchan","Ramen Noodle Soup Pork"
"2514","Pack","Japan",4.5,,"Maruchan","Ramen Noodle Soup Lime Chili Shrimp"
"2513","Can","USA",3.5,,"Wei Lih","Jah Jan Mien Instant Noodle With Fried Soybean Paste"
"2512","Pack","Taiwan",5,,"Baijia","Spicy Fei- Chang Sweet Potato Noodle"
"2511","Bowl","South Korea",5,,"Nissin","Demae Ramen XO Sauce Seafood"
"2510","Pack","Malaysia",5,,"Nissin","Demae Ramen Satay"
"2509","Pack","India",3.5,,"Nissin","Demae Ramen Tonkatsu Artificial Pork"
"2508","Pack","South Korea",3.75,,"Nissin","Demae Ramen Five Spices Artificial Beef"
"2507","Pack","Indonesia",4,,"Nissin","Demae Ramen Shoyu"
"2506","Pack","Singapore",3.75,,"Indomie","Mi Goreng Rendang"
"2505","Bowl","Japan",3.5,,"Indomie","Meatball Flavor"
"2504","Pack","South Korea",3,,"Nissin","Demae Ramen Prawn"
"2503","Bowl","China",0,,"Nissin","Demae Ramen Seafood"
"2502","Pack","Nigeria",1.5,,"Sapporo Ichiban","Kitsune Udon"
"2501","Pack","Taiwan",4,,"Unif / Tung-I","Artificial Chicken"
"2500","Box","Malaysia",5,,"Unif / Tung-I","Artificial Spicy Beef"
"2499","Cup","Singapore",5,,"Nissin","Demae Ramen Miso"
"2498","Pack","Germany",3.75,,"Nissin","Demae Ramen Spicy Flavor"
"2497","Cup","Germany",3.75,,"Samyang","Kalgug-Su Assorted Clam"
"2496","Pack","Germany",4.5,,"Nissin","Demae Ramen Sesame"
"2495","Cup","Germany",3.75,,"Unif / Tung-I","Onion Flavor"
"2494","Pack","Germany",3.5,,"Wai Wai","Tom Yum Shrimp Cream Soup"
"2493","Cup","Germany",3.75,,"Paldo","South Korean Noodle Chicken"
"2492","Pack","Hungary",3.75,,"Unif","100 Artificial Stewed Pork Chop"
"2491","Cup","Germany",5,,"Long Kow","Crystal Noodle Six Kinds Of Mushrooms"
"2490","Pack","Germany",3.5,,"Binh Tay","Mi Chay Mushroom"
"2489","Cup","Germany",3,,"Fashion Food","Tom Yum Seafood Creamy"
"2488","Pack","Germany",3.75,,"Payless","Xtra Big Original Pancit Canton"
"2487","Cup","Germany",4.5,,"Mama","Artificial Chicken"
"2486","Pack","Germany",3.5,,"Wei Lih","Artificial Beef Flavor"
"2485","Cup","Germany",3,,"Saigon Ve Wong","Kung Fu Artificial Pork Flavor"
"2484","Pack","Germany",4,,"Saigon Ve Wong","Kung Fu Mi Tom Chua Sour Shrimp"
"2483","Bowl","South Korea",5,,"Unif / Tung-I","Chah Chiang"
"2482","Pack","Taiwan",4.75,,"Ve Wong","Kung Fu Artificial Onion"
"2481","Cup","South Korea",3.75,,"Unif / Tung-I","Artificial Chinese Beef"
"2480","Bowl","Japan",4.25,,"Ve Wong","Artificial Sesame Chicken"
"2479","Pack","Malaysia",4,,"Indomie","Soto Mie"
"2478","Pack","Taiwan",5,,"Ve Wong","Vegetarian Flavor"
"2477","Pack","Taiwan",5,,"Maruchan","Ramen Noodle Soup Chicken"
"2476","Bowl","South Korea",4,,"Indomie","Special Fried Curly Noodle"
"2475","Bowl","Japan",4.75,,"GreeNoodle","Tom Yum"
"2474","Pack","South Korea",4.25,,"Ottogi","Pow Crunch Teriyaki"
"2473","Pack","Japan",2,,"Teriyaki Time","Ramen"
"2472","Pack","Taiwan",3.5,,"Mama","Pad Thai"
"2471","Cup","Hong Kong",5,,"Lucky Me!","Artificial Chicken"
"2470","Pack","USA",3.75,,"Ottogi","Odongtongmyon Seafood Spicy"
"2469","Cup","Singapore",3.5,,"Ottogi","Jiajang Noodle"
"2468","Cup","Japan",4.25,,"Nongshim","Hooroorook "
"2467","Pack","South Korea",3.5,,"Samyang","Kimchi"
"2466","Pack","Hong Kong",4,,"Ottogi","Miso Ramyun"
"2465","Cup","China",3.75,,"Mama","Nam Vang"
"2464","Bowl","South Korea",2,,"Ottogi","Ramyonsari"
"2463","Pack","Indonesia",3.25,,"Paldo","Bibim Men"
"2462","Bowl","Taiwan",5,,"Ve Wong","Artificial Pork & Chicken"
"2461","Pack","Japan",4.5,,"Samyang","Beef"
"2460","Bowl","USA",5,,"Ottogi","Bekse Curry"
"2459","Pack","Japan",3.5,,"Doll","Shrimp Wonton"
"2458","Pack","South Korea",,,"Wai Wai","Minced Pork Soeng Kreung"
"2457","Pack","Singapore",3.5,,"Nissin","Yakisoba With Mayonnaise/Mustard Packet"
"2456","Pack","Singapore",4.25,,"Shirakiku","Japanese Style Tokusen Karami"
"2455","Cup","Singapore",5,,"Mama","Tom Yam Koong Rice Vermicelli"
"2454","Bowl","Singapore",3.25,,"Vifon","Mi Chay Vegetarian"
"2453","Pack","Singapore",4.5,,"Mama","Artificial PA-LO Duck"
